137658,6156,0,91480,0,0,2870,17734,0,0,64397,0,0,0,0,11465,0,77739,76963,134762,28180,81511,0,14676,0,0,0,55812,0,94547,0,85288,25559,0,0,25965,0,52772,0,25782,0,0,35625,36349,0,109101,0,105139,40347,0,48415,0,0,0,0,161082,0,9756,33580,0,7518,
0,84161,0,4306,0,0,0,0,0,32488,0,12816,0,0,58113,0,0,0,26453,3764,0,0,16381,4080,100834,0,83565,68190,29679,7676,0,0,13745,72151,0,56085,31164,0,0,69341,0,0,24903,0,43120,27760,0,0,0,42580,7276,0,36785,0,0,0,43204,44059,7825,0,0,
0,0,2330,0,0,57846,0,77370,45680,0,0,0,0,26170,0,46247,36347,7206,0,47334,0,126156,5628,0,0,0,14825,8364,0,0,94800,104115,59909,52178,22876,0,61312,49524,0,0,0,0,111179,8623,0,25976,12196,0,66831,0,0,0,5085,39608,10304,0,900,17020,25398,0,0,
218079,0,40111,29334,137943,88678,70193,21142,0,0,5360,35740,102239,19317,43066,29926,0,0,27326,0,0,61855,0,0,0,27846,0,0,0,0,0,1916,2742,0,0,0,35360,0,0,65875,0,46496,5980,96791,0,75843,0,12974,43558,0,0,48895,166439,25378,0,65336,0,0,0,93474,0,
7998,0,80807,0,0,0,0,21715,0,0,57965,0,0,0,13261,65455,50548,4361,0,59861,0,0,0,0,0,0,0,0,26559,1483,0,66302,0,0,0,0,0,0,16505,0,0,0,57627,0,20546,63305,0,42012,50297,46713,0,0,0,18905,0,52446,44591,0,8175,0,0,
52227,0,0,0,0,0,0,55890,91290,0,0,39046,0,0,0,0,0,0,0,7848,50602,28535,0,10543,0,113782,0,83158,122149,0,43480,0,93647,55992,0,0,57137,0,70702,0,0,40740,87795,0,47479,55835,132769,38186,59937,0,11350,0,0,19608,0,27584,0,13312,21649,72040,58185,
0,25280,129071,0,0,73205,0,0,0,0,39763,0,90391,67106,0,61374,0,90565,0,0,61811,0,0,36549,130972,93677,0,0,0,0,0,0,0,0,0,93795,73384,0,0,0,44120,0,93915,0,0,0,1913,84496,0,0,0,158728,87946,20423,117748,0,153860,0,0,65600,45578,
116607,65521,30280,0,78588,0,0,100977,0,0,0,84687,0,0,110107,14740,175732,0,0,169852,35788,0,66397,0,0,0,0,0,19110,0,1454,0,44170,0,0,0,0,0,102374,0,126486,46489,0,0,32780,0,9071,0,51786,2663,59101,5266,0,0,92609,0,0,199,0,0,0,
0,26803,9975,0,0,71083,63592,0,63614,0,0,0,0,37035,91470,0,0,28545,64521,5136,0,0,100852,0,95037,60519,46783,45507,0,147384,103521,6936,34768,44160,124895,0,0,0,0,0,0,0,134606,27644,115319,76599,0,0,48541,0,0,0,18506,0,103618,40286,0,6484,0,0,0,
32919,0,56235,0,0,58746,0,0,0,0,0,0,0,0,0,0,72406,0,23147,0,22771,37117,0,69027,39404,0,0,0,47989,0,42255,36122,97284,0,0,0,76373,86217,12075,126814,52093,142613,0,17130,34817,9017,43186,0,0,0,8208,0,35476,0,85229,72078,62390,0,0,64010,0,
0,0,0,1917,0,57685,0,75938,29919,50029,76280,21401,0,0,0,83905,14323,0,0,75084,20026,171448,0,0,16113,0,13492,69337,22709,0,43238,0,0,46534,120584,9342,0,0,0,26472,6227,0,0,22478,0,0,93153,42196,0,0,101606,0,0,0,40897,0,0,0,0,78107,0,
16481,35884,6130,115433,106828,1761,81541,0,38923,28940,60461,0,55534,0,59501,0,87035,67949,50225,0,26465,2746,0,3546,0,115703,7030,0,0,141407,16055,0,98016,0,0,0,46520,146775,0,52730,0,93351,0,0,502,177186,0,101261,146569,36645,18888,104236,0,0,55523,0,27784,17839,40164,0,64399,
45910,80247,0,34788,0,87065,3182,0,0,0,0,0,0,35783,0,0,0,0,2596,0,3097,0,0,0,0,21460,82106,0,0,0,0,0,0,0,67103,0,0,0,40771,0,0,0,50518,37345,0,5860,82641,101011,31170,0,57593,0,20372,0,26226,7852,25849,100319,0,0,16711,
